,Country/Other,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Continent
0,Afghanistan,38928346,2.33,886592,60,652860,-62920,4.6,18,25.0,0.5,Asia
1,Albania,2877797,-0.11,-3120,105,27400,-14000,1.6,36,63.0,0.04,Europe
2,Algeria,43851044,1.85,797990,18,2381740,-10000,3.1,29,73.0,0.56,Africa
3,Angola,32866272,3.27,1040977,26,1246700,6413,5.6,17,67.0,0.42,Africa
4,Antigua and Barbuda,97929,0.84,811,223,440,0,2.0,34,26.0,0.0,North America
5,Argentina,45195774,0.93,415097,17,2736690,4800,2.3,32,93.0,0.58,South America
6,Armenia,2963243,0.19,5512,104,28470,-4998,1.8,35,63.0,0.04,Asia
7,Aruba,106766,0.43,452,593,180,201,1.9,41,44.0,0.0,North America
8,Australia,25499884,1.18,296686,3,7682300,158246,1.8,38,86.0,0.33,Australia
9,Austria,9006398,0.57,51296,109,82409,65000,1.5,43,57.0,0.12,Europe
10,Azerbaijan,10139177,0.91,91459,123,82658,1200,2.1,32,56.0,0.13,Asia
11,Bahamas,393244,0.97,3762,39,10010,1000,1.8,32,86.0,0.01,North America
12,Bahrain,1701575,3.68,60403,2239,760,47800,2.0,32,89.0,0.02,Asia
13,Bangladesh,164689383,1.01,1643222,1265,130170,-369501,2.1,28,39.0,2.11,Asia
14,Barbados,287375,0.12,350,668,430,-79,1.6,40,31.0,0.0,North America
15,Belarus,9449323,-0.03,-3088,47,202910,8730,1.7,40,79.0,0.12,Europe
16,Belgium,11589623,0.44,50295,383,30280,48000,1.7,42,98.0,0.15,Europe
17,Belize,397628,1.86,7275,17,22810,1200,2.3,25,46.0,0.01,North America
18,Benin,12123200,2.73,322049,108,112760,-2000,4.9,19,48.0,0.16,Africa
19,Bhutan,771608,1.12,8516,20,38117,320,2.0,28,46.0,0.01,Asia
20,Bolivia,11673021,1.39,159921,11,1083300,-9504,2.8,26,69.0,0.15,South America
21,Bosnia and Herzegovina,3280819,-0.61,-20181,64,51000,-21585,1.3,43,52.0,0.04,Europe
22,Botswana,2351627,2.08,47930,4,566730,3000,2.9,24,73.0,0.03,Africa
23,Brazil,212559417,0.72,1509890,25,8358140,21200,1.7,33,88.0,2.73,South America
24,Brunei,437479,0.97,4194,83,5270,0,1.8,32,80.0,0.01,Asia
25,Bulgaria,6948445,-0.74,-51674,64,108560,-4800,1.6,45,76.0,0.09,Europe
26,Burkina Faso,20903273,2.86,581895,76,273600,-25000,5.2,18,31.0,0.27,Africa
27,Burundi,11890784,3.12,360204,463,25680,2001,5.5,17,14.0,0.15,Africa
28,Cabo Verde,555987,1.1,6052,138,4030,-1342,2.3,28,68.0,0.01,Africa
29,Cambodia,16718965,1.41,232423,95,176520,-30000,2.5,26,24.0,0.21,Asia
30,Cameroon,26545863,2.59,669483,56,472710,-4800,4.6,19,56.0,0.34,Africa
31,Canada,37742154,0.89,331107,4,9093510,242032,1.5,41,81.0,0.48,North America
32,Central African Republic,4829767,1.78,84582,8,622980,-40000,4.8,18,43.0,0.06,Africa
33,Chad,16425864,3.0,478988,13,1259200,2000,5.8,17,23.0,0.21,Africa
34,Channel Islands,173863,0.93,1604,915,190,1351,1.5,43,30.0,0.0,Europe
35,Chile,19116201,0.87,164163,26,743532,111708,1.7,35,85.0,0.25,South America
36,China,1439323776,0.39,5540090,153,9388211,-348399,1.7,38,61.0,18.47,Asia
37,Colombia,50882891,1.08,543448,46,1109500,204796,1.8,31,80.0,0.65,South America
38,Comoros,869601,2.2,18715,467,1861,-2000,4.2,20,29.0,0.01,Africa
39,Congo,5518087,2.56,137579,16,341500,-4000,4.5,19,70.0,0.07,Africa
40,Costa Rica,5094118,0.92,46557,100,51060,4200,1.8,33,80.0,0.07,North America
41,Croatia,4105267,-0.61,-25037,73,55960,-8001,1.4,44,58.0,0.05,Europe
42,Cuba,11326616,-0.06,-6867,106,106440,-14400,1.6,42,78.0,0.15,North America
43,Curaçao,164093,0.41,669,370,444,515,1.8,42,89.0,0.0,North America
44,Cyprus,1207359,0.73,8784,131,9240,5000,1.3,37,67.0,0.02,Asia
45,Czech Republic (Czechia),10708981,0.18,19772,139,77240,22011,1.6,43,74.0,0.14,Europe
46,Côte d'Ivoire,26378274,2.57,661730,83,318000,-8000,4.7,19,51.0,0.34,Africa
47,DR Congo,89561403,3.19,2770836,40,2267050,23861,6.0,17,46.0,1.15,Africa
48,Denmark,5792202,0.35,20326,137,42430,15200,1.8,42,88.0,0.07,Europe
49,Djibouti,988000,1.48,14440,43,23180,900,2.8,27,79.0,0.01,Africa
50,Dominican Republic,10847910,1.01,108952,225,48320,-30000,2.4,28,85.0,0.14,North America
51,Ecuador,17643054,1.55,269392,71,248360,36400,2.4,28,63.0,0.23,South America
52,Egypt,102334404,1.94,1946331,103,995450,-38033,3.3,25,43.0,1.31,Africa
53,El Salvador,6486205,0.51,32652,313,20720,-40539,2.1,28,73.0,0.08,North America
54,Equatorial Guinea,1402985,3.47,46999,50,28050,16000,4.6,22,73.0,0.02,Africa
55,Eritrea,3546421,1.41,49304,35,101000,-39858,4.1,19,63.0,0.05,Africa
56,Estonia,1326535,0.07,887,31,42390,3911,1.6,42,68.0,0.02,Europe
57,Eswatini,1160164,1.05,12034,67,17200,-8353,3.0,21,30.0,0.01,Africa
58,Ethiopia,114963588,2.57,2884858,115,1000000,30000,4.3,19,21.0,1.47,Africa
59,Fiji,896445,0.73,6492,49,18270,-6202,2.8,28,59.0,0.01,Australia
60,Finland,5540720,0.15,8564,18,303890,14000,1.5,43,86.0,0.07,Europe
61,France,65273511,0.22,143783,119,547557,36527,1.9,42,82.0,0.84,Europe
62,French Guiana,298682,2.7,7850,4,82200,1200,3.4,25,87.0,0.0,South America
63,French Polynesia,280908,0.58,1621,77,3660,-1000,2.0,34,64.0,0.0,Australia
64,Gabon,2225734,2.45,53155,9,257670,3260,4.0,23,87.0,0.03,Africa
65,Gambia,2416668,2.94,68962,239,10120,-3087,5.3,18,59.0,0.03,Africa
66,Georgia,3989167,-0.19,-7598,57,69490,-10000,2.1,38,58.0,0.05,Asia
67,Germany,83783942,0.32,266897,240,348560,543822,1.6,46,76.0,1.07,Europe
68,Ghana,31072940,2.15,655084,137,227540,-10000,3.9,22,57.0,0.4,Africa
69,Greece,10423054,-0.48,-50401,81,128900,-16000,1.3,46,85.0,0.13,Europe
70,Grenada,112523,0.46,520,331,340,-200,2.1,32,35.0,0.0,North America
71,Guadeloupe,400124,0.02,68,237,1690,-1440,2.2,44,,0.01,North America
72,Guam,168775,0.89,1481,313,540,-506,2.3,31,95.0,0.0,Australia
73,Guatemala,17915568,1.9,334096,167,107160,-9215,2.9,23,52.0,0.23,North America
74,Guinea,13132795,2.83,361549,53,245720,-4000,4.7,18,39.0,0.17,Africa
75,Guinea-Bissau,1968001,2.45,47079,70,28120,-1399,4.5,19,45.0,0.03,Africa
76,Guyana,786552,0.48,3786,4,196850,-6000,2.5,27,27.0,0.01,South America
77,Haiti,11402528,1.24,139451,414,27560,-35000,3.0,24,57.0,0.15,North America
78,Honduras,9904607,1.63,158490,89,111890,-6800,2.5,24,57.0,0.13,North America
79,Hong Kong,7496981,0.82,60827,7140,1050,29308,1.3,45,,0.1,Asia
80,Hungary,9660351,-0.25,-24328,107,90530,6000,1.5,43,72.0,0.12,Europe
81,Iceland,341243,0.65,2212,3,100250,380,1.8,37,94.0,0.0,Europe
82,India,1380004385,0.99,13586631,464,2973190,-532687,2.2,28,35.0,17.7,Asia
83,Indonesia,273523615,1.07,2898047,151,1811570,-98955,2.3,30,56.0,3.51,Asia
84,Iran,83992949,1.3,1079043,52,1628550,-55000,2.2,32,76.0,1.08,Asia
85,Iraq,40222493,2.32,912710,93,434320,7834,3.7,21,73.0,0.52,Asia
86,Ireland,4937786,1.13,55291,72,68890,23604,1.8,38,63.0,0.06,Europe
87,Israel,8655535,1.6,136158,400,21640,10000,3.0,30,93.0,0.11,Asia
88,Italy,60461826,-0.15,-88249,206,294140,148943,1.3,47,69.0,0.78,Europe
89,Jamaica,2961167,0.44,12888,273,10830,-11332,2.0,31,55.0,0.04,North America
90,Japan,126476461,-0.3,-383840,347,364555,71560,1.4,48,92.0,1.62,Asia
91,Jordan,10203134,1.0,101440,115,88780,10220,2.8,24,91.0,0.13,Asia
92,Kazakhstan,18776707,1.21,225280,7,2699700,-18000,2.8,31,58.0,0.24,Asia
93,Kenya,53771296,2.28,1197323,94,569140,-10000,3.5,20,28.0,0.69,Africa
94,Kiribati,119449,1.57,1843,147,810,-800,3.6,23,57.0,0.0,Australia
95,Kuwait,4270571,1.51,63488,240,17820,39520,2.1,37,,0.05,Asia
96,Kyrgyzstan,6524195,1.69,108345,34,191800,-4000,3.0,26,36.0,0.08,Asia
97,Laos,7275560,1.48,106105,32,230800,-14704,2.7,24,36.0,0.09,Asia
98,Latvia,1886198,-1.08,-20545,30,62200,-14837,1.7,44,69.0,0.02,Europe
99,Lebanon,6825445,-0.44,-30268,667,10230,-30012,2.1,30,78.0,0.09,Asia
100,Lesotho,2142249,0.8,16981,71,30360,-10047,3.2,24,31.0,0.03,Africa
101,Liberia,5057681,2.44,120307,53,96320,-5000,4.4,19,53.0,0.06,Africa
102,Libya,6871292,1.38,93840,4,1759540,-1999,2.3,29,78.0,0.09,Africa
103,Lithuania,2722289,-1.35,-37338,43,62674,-32780,1.7,45,71.0,0.03,Europe
104,Luxembourg,625978,1.66,10249,242,2590,9741,1.5,40,88.0,0.01,Europe
105,Macao,649335,1.39,8890,21645,30,5000,1.2,39,,0.01,Asia
106,Madagascar,27691018,2.68,721711,48,581795,-1500,4.1,20,39.0,0.36,Africa
107,Malawi,19129952,2.69,501205,203,94280,-16053,4.3,18,18.0,0.25,Africa
108,Malaysia,32365999,1.3,416222,99,328550,50000,2.0,30,78.0,0.42,Asia
109,Maldives,540544,1.81,9591,1802,300,11370,1.9,30,35.0,0.01,Asia
110,Mali,20250833,3.02,592802,17,1220190,-40000,5.9,16,44.0,0.26,Africa
111,Malta,441543,0.27,1171,1380,320,900,1.5,43,93.0,0.01,Europe
112,Martinique,375265,-0.08,-289,354,1060,-960,1.9,47,92.0,0.0,North America
113,Mauritania,4649658,2.74,123962,5,1030700,5000,4.6,20,57.0,0.06,Africa
114,Mauritius,1271768,0.17,2100,626,2030,0,1.4,37,41.0,0.02,Africa
115,Mayotte,272815,2.5,6665,728,375,0,3.7,20,46.0,0.0,Africa
116,Mexico,128932753,1.06,1357224,66,1943950,-60000,2.1,29,84.0,1.65,North America
117,Micronesia,548914,1.0,5428,784,700,-2957,2.9,27,68.0,0.01,Australia
118,Moldova,4033963,-0.23,-9300,123,32850,-1387,1.3,38,43.0,0.05,Europe
119,Mongolia,3278290,1.65,53123,2,1553560,-852,2.9,28,67.0,0.04,Asia
120,Montenegro,628066,0.01,79,47,13450,-480,1.8,39,68.0,0.01,Europe
121,Morocco,36910560,1.2,438791,83,446300,-51419,2.4,30,64.0,0.47,Africa
122,Mozambique,31255435,2.93,889399,40,786380,-5000,4.9,18,38.0,0.4,Africa
123,Myanmar,54409800,0.67,364380,83,653290,-163313,2.2,29,31.0,0.7,Asia
124,Namibia,2540905,1.86,46375,3,823290,-4806,3.4,22,55.0,0.03,Africa
125,Nepal,29136808,1.85,528098,203,143350,41710,1.9,25,21.0,0.37,Asia
126,Netherlands,17134872,0.22,37742,508,33720,16000,1.7,43,92.0,0.22,Europe
127,New Caledonia,285498,0.97,2748,16,18280,502,2.0,34,72.0,0.0,Australia
